name,latitude,longitude,elevation_m,notes,source_url
South Lhonak Lake,27.9144306,88.1835861,5200,"Moraine-dammed GLOF lake; source of the 3 Oct 2023 Sikkim flash flood",https://en.wikipedia.org/wiki/South_Lhonak_Lake
Lhonak Lake,27.9874,88.0866,,"Terminus of Lhonak Glacier, North Sikkim",https://testbook.com/ias-preparation/lhonak-lake
Shako Cho,27.9747,88.6161,5000,"Moraine-dammed proglacial lake above Thangu village, North Sikkim",https://www.researchgate.net/figure/Shako-Cho-glacial-lake-above-the-village-of-Thangu-in-Sikkim-India-The-lake-is-13-km_fig14_266678238
Tso Lhamo Lake,28.0091,88.7553,5100,"One of the world's highest lakes, source of the Teesta River, North Sikkim",https://en.wikipedia.org/wiki/Tso_Lhamo_Lake
Samiti Lake,27.561562,88.187328,4200,"Alpine glacial lake, West Sikkim, near Kangchenjunga",https://en.wikipedia.org/wiki/Samiti_Lake
Tsomgo Lake,27.37528,88.76389,3753,"Glacial lake, Gangtok district, East Sikkim",https://en.wikipedia.org/wiki/Lake_Tsomgo
